Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
Gambia,2018,4.9220991134643555,7.376553535461426,0.6847999691963196,55.0,0.71872878074646,0.009469065337586433,0.6910695433616638,0.8040121793746948,0.37920770049095154,0.7575434446334839,-0.1354347958240164,-0.005790174524892771,3.158857583999634,0.6417704224586487,0.3737979789250913,0.4226666666666667,0.5923911929130554,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Georgia,2018,4.659097194671631,9.229100227355957,0.617218554019928,64.5,0.775144100189209,-0.21924759447574615,0.7548537850379944,0.572953462600708,0.24377891421318054,0.3000061810016632,-0.7399918467684785,0.3269374828130094,2.223053216934204,0.47714248299598694,0.42232731958762876,0.3801176470588235,0.41981205344200134,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.17679283022880554,0.26807041443474666,0.17658862471580505,0.23749304511730077
Germany,2018,7.118364334106445,10.730944633483887,0.9197631478309631,72.19999694824219,0.8768875002861023,0.030199648812413216,0.4956739544868469,0.7802804112434387,0.24321457743644714,0.5929905772209167,0.7624953409131987,1.6571785426243717,1.6235891580581665,0.22808457911014557,0.32873437499999925,0.30622222222222223,0.2835126221179962,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.32132279872894287,0.26807041443474666,0.3435913622379303,0.44748765230178833
Greece,2018,5.409289360046387,10.132058143615723,0.7935007810592651,72.4000015258789,0.5644556879997253,-0.33638453483581543,0.8603023886680603,0.6656990647315979,0.2550065815448761,0.15704865753650665,0.06569331574769349,0.6997118642383788,2.0797712802886963,0.38448143005371094,0.4191385642737886,0.3463846153846154,0.31549426913261414,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Guatemala,2018,6.626591682434082,8.923428535461426,0.8411072492599487,64.80000305175781,0.9095380306243896,-0.011167033575475216,0.7654544115066528,0.871362030506134,0.2624112665653229,0.4570644199848175,-0.8093119825420375,-0.8043431294774404,2.840461254119873,0.42864587903022766,0.45149999999999346,0.5236666666666667,0.6343690752983093,0.014016821980474964,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.14930298924446106,0.23749304511730077
Guinea,2018,5.252226829528809,7.633718013763428,0.6304331421852112,54.400001525878906,0.7311572432518005,0.10001128166913986,0.7783938050270081,0.7438810467720032,0.44043830037117004,0.5917237401008606,-0.6946912833622524,-0.9740391501358578,3.3026351928710938,0.6288066506385803,0.3737979789250913,0.387,0.603387713432312,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Haiti,2018,3.6149280071258545,7.4160919189453125,0.5379759073257446,55.70000076293945,0.5914683938026428,0.4209863841533661,0.7204447388648987,0.5841132998466492,0.3587200343608856,0.3678966462612152,-0.5676109683084369,-1.400401366434223,3.076730251312256,0.8511179685592651,0.3737979789250913,0.41100000000000003,0.6694339513778687,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Honduras,2018,5.908423900604248,8.439203262329102,0.8270670175552368,67.19999694824219,0.8721616864204407,0.10572869330644608,0.8035647869110107,0.8718446493148804,0.287357896566391,0.3989136815071106,-0.6733998099815861,-0.01816875836840104,3.1347203254699707,0.530551016330719,0.5491612665684831,0.5466875,0.6721588373184204,0.19873626530170027,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
India,2018,3.818068742752075,8.830280303955078,0.6380519866943359,60.099998474121094,0.8904433846473694,0.07180630415678024,0.805263340473175,0.6572871804237366,0.35745808482170105,0.7532808780670166,-0.10077024042451996,0.08272264228235822,2.212352752685547,0.5794428586959839,0.3737979789250913,0.35100000000000003,0.428205668926239,0.19100496172904968,0.3904802825450897,0.3352000117301941,0.3284313678741455,0.388611376285553,0.2068965584039688,0.32149630784988403
Indonesia,2018,5.340295791625977,9.36282730102539,0.8093788623809814,62.099998474121094,0.8793743848800659,0.4993778169155121,0.8677294254302979,0.8637178540229797,0.2959868013858795,0.8376027345657349,-1.1435517163155904,-0.6793642845172476,2.5308024883270264,0.4739067852497101,0.3737979789250913,0.395,0.4643471837043762,-0.21686817705632713,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.4569999873638153,0.4109961986541748,0.23749304511730077
